,book,subject,object,sub_sentence,verb,sentence,sub_sent_score,verb_score,sent_score,sent_loc,sub_sent_vader,sent_vader,verb_vader,pair,title
1,huckleberry_finn,Boggs,Sherburn,"Boggs rode up before the biggest store in town , and bent his head down so he could see under the curtain of the awning and yells : Come out here , Sherburn",yells,"Boggs rode up before the biggest store in town , and bent his head down so he could see under the curtain of the awning and yells : Come out here , Sherburn !",0.532719016,-0.998124869,0.666420102,70003,0,0,0,"{'Sherburn', 'Boggs'}",Adventures of Huckleberry Finn
2,huckleberry_finn,Boggs,Sherburn,Boggs rode off blackguarding Sherburn,rode,"Boggs rode off blackguarding Sherburn as loud as he could yell , all down the street ;",-0.631947368,-0.997842506,-0.646171957,70253,0,0,0,"{'Sherburn', 'Boggs'}",Adventures of Huckleberry Finn
19,huckleberry_finn,Uncle Silas,Tom,Aunt Polly and Uncle Silas and Aunt Sally found out how good he helped the doctor nurse Tom,found,"We had Jim out of the chains in no time , and when Aunt Polly and Uncle Silas and Aunt Sally found out how good he helped the doctor nurse Tom , they made a heap of fuss over him , and fixed him up prime , and give him all he wanted to eat , and a good time , and nothing to do .",0.999694347,0.999796391,0.992955565,145092,0.4404,0.5574,0,"{'Uncle Silas', 'Tom'}",Adventures of Huckleberry Finn
21,animal_farm,Boxer,Napoleon,"Boxer , who had now had time to think things over , voiced the general feeling by saying : If Comrade Napoleon says it , it must be right",saying,"Boxer , who had now had time to think things over , voiced the general feeling by saying : If Comrade Napoleon says it , it must be right .",0.990513206,0.98691237,0.984886289,13801,0.128,0.128,0,"{'Boxer', 'Napoleon'}",Animal Farm
22,animal_farm,Boxer,Napoleon,Boxer looked at Napoleon,looked,Boxer looked at Napoleon to know whether he should crush the dog to death or let it go .,0.979575872,0.993612289,-0.914885499,20414,0,-0.6705,0,"{'Boxer', 'Napoleon'}",Animal Farm
24,animal_farm,Napoleon,Boxer,"Napoleon appeared to change countenance , and sharply ordered Boxer",ordered,"Napoleon appeared to change countenance , and sharply ordered Boxer to let the dog go , whereat Boxer lifted his hoof , and the dog slunk away , bruised and howling .",0.576134682,-0.202859104,-0.265580058,20433,0,0,0,"{'Boxer', 'Napoleon'}",Animal Farm
20,animal_farm,Boxer,Clover,Boxer had understood what Clover had said,understood,It was uncertain whether Boxer had understood what Clover had said .,0.999735832,0.999722004,-0.998876043,30159,0,-0.296,0,"{'Clover', 'Boxer'}",Animal Farm
25,animal_farm,Napoleon,Frederick,Napoleon appeared in the barn and explained that he had never at any time contemplated selling the pile of timber to Frederick,explained,One Sunday morning Napoleon appeared in the barn and explained that he had never at any time contemplated selling the pile of timber to Frederick ;,0.36841476,0.999399662,0.138171077,23389,0,0,0,"{'Napoleon', 'Frederick'}",Animal Farm
26,animal_farm,Napoleon,Frederick,Napoleon announced that he had sold the pile of timber to Frederick,announced,They were struck dumb with surprise when Napoleon announced that he had sold the pile of timber to Frederick .,-0.80649817,0.999688387,0.726158619,23906,0,-0.4939,0,"{'Napoleon', 'Frederick'}",Animal Farm
23,animal_farm,Jones,Napoleon,"two young boars named Snowball and Napoleon , whom Mr. Jones was breeding",breeding,"Pre - eminent among the pigs were two young boars named Snowball and Napoleon , whom Mr. Jones was breeding up for sale .",-0.293844342,0.999632716,-0.32978183,3245,0,0,0,"{'Napoleon', 'Jones'}",Animal Farm
27,animal_farm,Napoleon,Jones,"Our Leader , Comrade Napoleon , announced Squealer , speaking very slowly and firmly , has stated categorically categorically , comrade that Snowball was Jones s agent from the very beginning yes , and from long before the Rebellion was ever thought of",speaking very slowly and firmly,"Our Leader , Comrade Napoleon , announced Squealer , speaking very slowly and firmly , has stated categorically categorically , comrade that Snowball was Jones s agent from the very beginning yes , and from long before the Rebellion was ever thought of .",0.903501868,0.977702975,0.905046582,20023,0.3566,0.3566,0,"{'Napoleon', 'Jones'}",Animal Farm
35,animal_farm,Squealer,Napoleon,That evening Squealer explained privately to the other animals that Napoleon had never in reality been opposed to the windmill,explained,That evening Squealer explained privately to the other animals that Napoleon had never in reality been opposed to the windmill .,0.254271269,0.999399662,0.226331115,14215,0,0,0,"{'Napoleon', 'Squealer'}",Animal Farm
36,animal_farm,Squealer,Napoleon,"a portrait of Napoleon , in profile , executed by Squealer",executed,"It was surmounted by a portrait of Napoleon , in profile , executed by Squealer in white paint .",0.782712698,-0.998547399,0.925557375,22877,0,0,0,"{'Napoleon', 'Squealer'}",Animal Farm
37,animal_farm,Whymper,Napoleon,Whymper had advised Napoleon,advised,"It was well seasoned , and Whymper had advised Napoleon to sell it ;",0.233270645,0.996602774,0.964154482,18776,0,0.2732,0,"{'Napoleon', 'Whymper'}",Animal Farm
28,animal_farm,Napoleon,Pilkington,Napoleon had arranged to sell the pile of timber to Mr. Pilkington,arranged,At about the same time it was given out that Napoleon had arranged to sell the pile of timber to Mr. Pilkington ;,-0.408824325,-0.997630371,-0.495373964,23085,0,0,0,"{'Pilkington', 'Napoleon'}",Animal Farm
34,animal_farm,Snowball,Jones,Snowball had privately admitted to them that he had been Jones s secret agent for years past,admitted,They added that Snowball had privately admitted to them that he had been Jones s secret agent for years past .,0.903326988,0.997778535,0.890070081,20565,0.1027,0.1027,0.1027,"{'Snowball', 'Jones'}",Animal Farm
29,animal_farm,Napoleon,Snowball,Napoleon took no interest in Snowballs committees,took,Napoleon took no interest in Snowballs committees .,-0.965842593,0.18745029,-0.924658425,8194,-0.357,-0.357,0,"{'Snowball', 'Napoleon'}",Animal Farm
30,animal_farm,Napoleon,Snowball,"Napoleon produced no schemes of his own , but said quietly that Snowballs would come to nothing",said,"Napoleon produced no schemes of his own , but said quietly that Snowballs would come to nothing , and seemed to be biding his time .",-0.998122391,0.99401927,-0.974484928,11612,-0.1531,-0.1531,0,"{'Snowball', 'Napoleon'}",Animal Farm
31,animal_farm,Napoleon,Snowball,Napoleon decreed that there should be a full investigation into Snowballs activities,decreed,Napoleon decreed that there should be a full investigation into Snowballs activities .,-0.456418872,0.99683857,-0.400954306,19076,0,0,0,"{'Snowball', 'Napoleon'}",Animal Farm
32,animal_farm,Napoleon,Snowball,"Our Leader , Comrade Napoleon , announced Squealer , speaking very slowly and firmly , has stated categorically categorically , comrade that Snowball was Jones s agent from the very beginning yes , and from long before the Rebellion was ever thought of",speaking very slowly and firmly,"Our Leader , Comrade Napoleon , announced Squealer , speaking very slowly and firmly , has stated categorically categorically , comrade that Snowball was Jones s agent from the very beginning yes , and from long before the Rebellion was ever thought of .",0.903501868,0.977702975,0.905046582,20023,0.3566,0.3566,0,"{'Snowball', 'Napoleon'}",Animal Farm
33,animal_farm,Napoleon,Snowball,"The wounds on Snowballs back , which a few of the animals still remembered to have seen , had been inflicted by Napoleons teeth",inflicted,"The wounds on Snowballs back , which a few of the animals still remembered to have seen , had been inflicted by Napoleons teeth .",-0.992850341,-0.947647084,-0.987403041,28416,0,0,0,"{'Snowball', 'Napoleon'}",Animal Farm
50,chocolate_factory,Mr Wonka,Augustus Gloop,Mr Wonka turned round and saw what Augustus Gloop was doing,saw,"17 Augustus Gloop Goes up the Pipe When Mr Wonka turned round and saw what Augustus Gloop was doing , he cried out,-Oh , no !",0.939682961,0.99695003,-0.934317194,18618,0,-0.6239,0,"{'Augustus Gloop', 'Mr Wonka'}",Charlie and the Chocolate Factory
41,chocolate_factory,Charlie,Mr Wonka,Grandpa Joe and Charlie were half running and half walking to keep up with Mr Wonka,keep,"Grandpa Joe and Charlie were half running and half walking to keep up with Mr Wonka , but they were able to read what it said on quite a few of the doors as they hurried by .",-0.371100783,0.999717712,0.993186593,27488,0,0,0,"{'Charlie', 'Mr Wonka'}",Charlie and the Chocolate Factory
42,chocolate_factory,Charlie,Mr Wonka,Charlie stared at Mr Wonka,stared,- Charlie stared at Mr Wonka .,0.983622789,0.985607743,0.953488946,39967,0,0,0,"{'Charlie', 'Mr Wonka'}",Charlie and the Chocolate Factory
51,chocolate_factory,Mr Wonka,Charlie,Mr Wonka swung round and stared at Charlie,stared,- Mr Wonka swung round and stared at Charlie .,0.998488188,0.985607743,0.996445298,37950,0,0,0,"{'Charlie', 'Mr Wonka'}",Charlie and the Chocolate Factory
53,chocolate_factory,Mrs Bucket,Charlie,"Mr and Mrs Bucket came in and stood at the foot of the bed , watching Charlie",watching,"Mr and Mrs Bucket came in and stood at the foot of the bed , watching Charlie .",0.99841702,0.999791622,0.997766852,6634,0,0,0,"{'Charlie', 'Mrs Bucket'}",Charlie and the Chocolate Factory
38,chocolate_factory,Charlie,Grandpa Joe,Little Charlie looked at Grandpa Joe,looked,"- Little Charlie looked at Grandpa Joe , and Grandpa Joe looked back at little Charlie .",0.999667883,0.993612289,0.998968124,37906,0,0,0,"{'Grandpa Joe', 'Charlie'}",Charlie and the Chocolate Factory
39,chocolate_factory,Charlie,Grandpa Joe,Charlie stood there holding tightly on to Grandpa Joe - s hand,holding,Charlie stood there holding tightly on to Grandpa Joe - s hand .,0.999265909,0.999642491,0.999203563,37965,0.4939,0.4939,0,"{'Grandpa Joe', 'Charlie'}",Charlie and the Chocolate Factory
40,chocolate_factory,Charlie,Grandpa Joe,Charlie was clinging to Grandpa Joe - s legs,clinging,"Charlie was clinging to Grandpa Joe - s legs and Mr Wonka was holding on to a strap from the ceiling , and up they went , up , up , up , straight up this time , with no twistings or turnings , and Charlie could hear the whistling of the air outside as the lift went faster and faster .",0.989144206,0.999376774,-0.008566797,38442,0,-0.0772,0,"{'Grandpa Joe', 'Charlie'}",Charlie and the Chocolate Factory
43,chocolate_factory,Grandpa Joe,Charlie,"Grandpa Joe said , ‘ You - re pulling our legs , Charlie , aren - t you",said,"Then , very softly , Grandpa Joe said , ‘ You - re pulling our legs , Charlie , aren - t you ?",-0.047849059,0.99401927,0.679282665,12308,0,0,0,"{'Grandpa Joe', 'Charlie'}",Charlie and the Chocolate Factory
44,chocolate_factory,Grandpa Joe,Charlie,"with a slow and marvellous grin spreading all over his face , Grandpa Joe lifted his head and looked straight at Charlie",with a slow and marvellous grin spreading all over his face,"Then very slowly , with a slow and marvellous grin spreading all over his face , Grandpa Joe lifted his head and looked straight at Charlie .",0.999638915,0.99953258,0.998598814,12396,0.6124,0.6124,0.4767,"{'Grandpa Joe', 'Charlie'}",Charlie and the Chocolate Factory
45,chocolate_factory,Grandpa Joe,Charlie,"Grandpa Joe , seizing Charlie",seizing,"- shouted Grandpa Joe , seizing Charlie by the hands and dancing round the room .",0.985276699,0.990430593,0.997680783,13734,0,0,0,"{'Grandpa Joe', 'Charlie'}",Charlie and the Chocolate Factory
46,chocolate_factory,Grandpa Joe,Charlie,"Grandpa Joe , grinning at Charlie",grinning,"- said Grandpa Joe , grinning at Charlie .",0.999657869,0.999740362,0.999109149,21674,0.3612,0.3612,0.3612,"{'Grandpa Joe', 'Charlie'}",Charlie and the Chocolate Factory
47,chocolate_factory,Grandpa Joe,Charlie,Grandpa Joe looked down at Charlie who was clinging to his legs,looked,"And then Grandpa Joe looked down at Charlie who was clinging to his legs , and he said , ‘ Are you all right , Charlie ?",0.796019912,0.993612289,0.543477774,32586,0,0,0,"{'Grandpa Joe', 'Charlie'}",Charlie and the Chocolate Factory
52,chocolate_factory,Mr Wonka,Grandpa Joe,Mr Wonka and the Indian Prince ‘ Prince Pondicherry wrote a letter to Mr Willy Wonka   said Grandpa Joe,said,"- 3 Mr Wonka and the Indian Prince ‘ Prince Pondicherry wrote a letter to Mr Willy Wonka   said Grandpa Joe , ‘ and asked him to come all the way out to India and build him a colossal palace entirely out of chocolate   ‘ Did Mr Wonka do it , Grandpa ?",0.984320998,0.99401927,-0.167359591,2544,0,0,0,"{'Grandpa Joe', 'Mr Wonka'}",Charlie and the Chocolate Factory
49,chocolate_factory,Mike Teavee,Mr Wonka,"The next two children , Violet Beauregarde and Mike Teavee , came forward to have their tickets examined and then to have their arms practically pumped off their shoulders by the energetic Mr Wonka",have,"- The next two children , Violet Beauregarde and Mike Teavee , came forward to have their tickets examined and then to have their arms practically pumped off their shoulders by the energetic Mr Wonka .",0.997219086,0.999774694,0.997453809,15271,0.4404,0.4404,0,"{'Mr Wonka', 'Mike Teavee'}",Charlie and the Chocolate Factory
54,chocolate_factory,Mrs Teavee,Mike Teavee,Mrs Teavee shot out a hand and picked the tiny figure of Mike Teavee,picked,- Mrs Teavee shot out a hand and picked the tiny figure of Mike Teavee out of the screen .,0.423402786,0.899477363,0.996478081,35959,0.4939,0.4939,0,"{'Mrs Teavee', 'Mike Teavee'}",Charlie and the Chocolate Factory
55,dracula,Arthur,Lucy,"Arthur , who , poor fellow , was speaking of his part in the operation where his blood had been transfused to his Lucys veins",speaking,"When it was all over , we were standing beside Arthur , who , poor fellow , was speaking of his part in the operation where his blood had been transfused to his Lucys veins ;",-0.485377192,0.999639392,0.960987926,87652,-0.4767,-0.4767,0,"{'Arthur', 'Lucy'}",Dracula
56,dracula,Arthur,Quincey,"Arthur has gone back to Ring , and has taken Quincey Morris",taken,"Arthur has gone back to Ring , and has taken Quincey Morris with him .",0.994192839,-0.999544776,0.998616934,87461,0,0,0,"{'Arthur', 'Quincey'}",Dracula
64,dracula,Van Helsing,Arthur,"Van Helsing , who had been watching closely , took Arthurs arm",took,"and Van Helsing , who had been watching closely , took Arthurs arm , and drew him away .",0.998787165,0.18745029,0.016608,81492,0,0,0,"{'Arthur', 'Van Helsing'}",Dracula
65,dracula,Van Helsing,Arthur,"Van Helsing came and laid his hand on Arthurs shoulder , and said to him:-And now , Arthur my friend , dear lad , am I not forgiven",said,"Van Helsing came and laid his hand on Arthurs shoulder , and said to him:-And now , Arthur my friend , dear lad , am I not forgiven ?",-0.009132564,0.99401927,0.718608975,109606,0.7793,0.7793,0,"{'Arthur', 'Van Helsing'}",Dracula
66,dracula,Van Helsing,Arthur,"Van Helsing said gravely:-Go on , friend Arthur",said,"Van Helsing said gravely:-Go on , friend Arthur .",0.991881609,0.99401927,0.99202323,144901,0.4939,0.4939,0,"{'Arthur', 'Van Helsing'}",Dracula
57,dracula,Godalming,Harker,"Godalming and Morris had not only arrived , but had already studied the transcript of the various diaries and letters which Harker and his wonderful wife had made and arranged",studied,"- I got home at five oclock , and found that Godalming and Morris had not only arrived , but had already studied the transcript of the various diaries and letters which Harker and his wonderful wife had made and arranged .",0.166825294,0.997186303,0.42348516,117056,0.7227,0.7227,0,"{'Harker', 'Godalming'}",Dracula
63,dracula,Morris,Harker,"Godalming and Morris had not only arrived , but had already studied the transcript of the various diaries and letters which Harker and his wonderful wife had made and arranged",studied,"- I got home at five oclock , and found that Godalming and Morris had not only arrived , but had already studied the transcript of the various diaries and letters which Harker and his wonderful wife had made and arranged .",0.166825294,0.997186303,0.42348516,117056,0.7227,0.7227,0,"{'Harker', 'Morris'}",Dracula
68,dracula,Van Helsing,Harker,Van Helsing asked Mrs. Harker to look up the copy of the diaries and find him the part of Harkers journal at the Castle,asked,When the three men had gone out to their tasks Van Helsing asked Mrs. Harker to look up the copy of the diaries and find him the part of Harkers journal at the Castle .,-0.095970452,0.999021292,-0.319066107,172950,0,0,0,"{'Harker', 'Van Helsing'}",Dracula
74,dracula,Van Helsing,Renfield,Dr. Van Helsing and Dr. Seward had come back from seeing poor Renfield,seeing,"When Dr. Van Helsing and Dr. Seward had come back from seeing poor Renfield , we went gravely into what was to be done .",-0.717437416,0.999793053,-0.2506845,147094,-0.4767,-0.6808,0,"{'Renfield', 'Van Helsing'}",Dracula
67,dracula,Van Helsing,Dracula,"Dr. Van Helsing described what steps were taken during the day to discover on what boat and whither bound Count Dracula made his escape:-As I knew that he wanted to get back to Transylvania , I felt sure that he must go by the Danube mouth",described,"Dr. Van Helsing described what steps were taken during the day to discover on what boat and whither bound Count Dracula made his escape:-As I knew that he wanted to get back to Transylvania , I felt sure that he must go by the Danube mouth ;",0.150769949,0.997396231,-0.15926379,161010,0.3182,0.3182,0,"{'Van Helsing', 'Dracula'}",Dracula
69,dracula,Van Helsing,John,Dr. Van Helsing added:-Friend John,added:-Friend,"Lord Godalming and I were silent , but Dr. Van Helsing added:-Friend John , you know more of lunatics than I do , and I m glad of it , for I fear that if it had been to me to decide I would before that last hysterical outburst have given him free .",0.999447227,0.999759197,0.537491918,125695,0,0.0471,0,"{'Van Helsing', 'John'}",Dracula
58,dracula,Lucy,Van Helsing,"Lucys first movement was to feel in her breast , and , to my surprise , produced the paper which Van Helsing had given me to read",to my surprise,"When she woke late in the afternoon , Lucys first movement was to feel in her breast , and , to my surprise , produced the paper which Van Helsing had given me to read .",0.991603494,0.999714851,0.967504501,76662,0.2732,0.2732,0.2732,"{'Van Helsing', 'Lucy'}",Dracula
59,dracula,Lucy,Van Helsing,"a telegram from Van Helsing , whoever he may be:-You will be grieved to hear that Mrs. Westenra died five days ago , and that Lucy died the day before yesterday",grieved,"and now a telegram from Van Helsing , whoever he may be:-You will be grieved to hear that Mrs. Westenra died five days ago , and that Lucy died the day before yesterday .",-0.662648261,-0.994068728,-0.839556262,87342,-0.8807,-0.8807,-0.4588,"{'Van Helsing', 'Lucy'}",Dracula
70,dracula,Van Helsing,Lucy,Van Helsing looking at poor Lucy,looking,"I went back to the room , and found Van Helsing looking at poor Lucy , and his face was sterner than ever .",-0.993090261,0.999634624,0.36844337,81589,-0.4767,-0.4767,0,"{'Van Helsing', 'Lucy'}",Dracula
60,dracula,Mina,Van Helsing,Mina wants to see Dr. Van Helsing at once,wants,but Mina wants to see Dr. Van Helsing at once .,0.999126792,0.999764919,0.971797943,158628,0,0,0,"{'Van Helsing', 'Mina'}",Dracula
62,dracula,Mina,Van Helsing,"Mina woke me early , about the same time as yesterday , and asked me to bring Dr. Van Helsing",asked,"Mina woke me early , about the same time as yesterday , and asked me to bring Dr. Van Helsing .",0.907098174,0.999021292,0.860678554,166381,0,0,0,"{'Van Helsing', 'Mina'}",Dracula
71,dracula,Van Helsing,Mina,Van Helsing made a very careful examination of the patient,made,Van Helsing made a very careful examination of the patient .,0.999396563,0.999755383,0.999226928,57036,0.2247,0.2247,0,"{'Van Helsing', 'Mina'}",Dracula
72,dracula,Van Helsing,Mina,"Van Helsing said , placing his hand very tenderly on Mrs. Harkers head:-And now , Madam Mina - poor , dear , dear Madam Mina - tell us exactly what happened",said,"then Van Helsing said , placing his hand very tenderly on Mrs. Harkers head:-And now , Madam Mina - poor , dear , dear Madam Mina - tell us exactly what happened .",0.935924172,0.99401927,0.95811367,145344,0.8122,0.8122,0,"{'Van Helsing', 'Mina'}",Dracula
73,dracula,Van Helsing,Mina,"Van Helsing was looking at her fixedly as she spoke , and said , suddenly but quietly:-But dear Madam Mina , are you not afraid",said,"Van Helsing was looking at her fixedly as she spoke , and said , suddenly but quietly:-But dear Madam Mina , are you not afraid ;",0.985117912,0.99401927,0.98884809,147586,0.5267,0.5267,0,"{'Van Helsing', 'Mina'}",Dracula
0,harry potter book 1,Dudley,Harry,Dudleys gang hated that odd Harry Potter in his baggy old clothes and broken glasses,hated,"Everybody knew that Dudleys gang hated that odd Harry Potter in his baggy old clothes and broken glasses , and nobody liked to disagree with Dudleys gang .",-0.99943256,-0.999362396,-0.66305989,10356,-0.8625,-0.8555,-0.6369,"{'Dudley', 'Harry'}",Harry Potter Book 1
1,harry potter book 1,Dudley,Harry,Dudley asked Harry,asked,Dudley asked Harry in amazement .,-0.106911242,0.999021292,0.920161128,13630,0,0.5423,0,"{'Dudley', 'Harry'}",Harry Potter Book 1
2,harry potter book 1,Dudley,Harry,Dudley had always taken anything that Harry really wanted,taken,"Dudley had always taken anything that Harry really wanted , even if it made him sick .",0.366783261,-0.999544776,0.99262774,41100,0,-0.5106,0,"{'Dudley', 'Harry'}",Harry Potter Book 1
40,harry potter book 1,Harry,Dudley,said that Dudley looked like a baby angel - Harry often said that Dudley looked like a pig in a wig,said,Aunt Petunia often said that Dudley looked like a baby angel - Harry often said that Dudley looked like a pig in a wig .,-0.974331826,0.99401927,-0.98473563,6965,0.6124,0.6124,0,"{'Dudley', 'Harry'}",Harry Potter Book 1
41,harry potter book 1,Harry,Dudley,"Harry , who could see a huge Dudley tantrum coming on",see,"Harry , who could see a huge Dudley tantrum coming on , began wolfing down his bacon as fast as possible in case Dudley turned the table over .",-0.967596188,0.999755621,-0.258200467,7103,-0.128,-0.128,0,"{'Dudley', 'Harry'}",Harry Potter Book 1
43,harry potter book 1,Harry,Dudley,"Harry and Uncle Vernon watched Dudley unwrap the racing bike , a video camera , a remote control airplane , sixteen new computer games , and a VCR",watched,"At that moment the telephone rang and Aunt Petunia went to answer it while Harry and Uncle Vernon watched Dudley unwrap the racing bike , a video camera , a remote control airplane , sixteen new computer games , and a VCR .",-0.448714077,0.999774456,-0.362213194,7276,0,0,0,"{'Dudley', 'Harry'}",Harry Potter Book 1
44,harry potter book 1,Harry,Dudley,"Aunt Petunia and Dudley , looking terrified at the very sight of Harry",terrified,"Behind him stood Aunt Petunia and Dudley , looking terrified at the very sight of Harry .",-6.47E-05,-0.997992721,0.779253483,103003,-0.6124,-0.6124,-0.6124,"{'Dudley', 'Harry'}",Harry Potter Book 1
7,harry potter book 1,Dursley,Dudley,The Dursley s had a small son called Dudley,had,The Dursley s had a small son called Dudley and in their opinion there was no finer boy anywhere .,0.98548913,0.999622703,0.999643683,139,0,-0.296,0,"{'Dursley', 'Dudley'}",Harry Potter Book 1
